user_name,rep_id,valid_rep,depth_fault,valgus_fault,trunk_fault,bottom_timestamp_ms_human
dimb,1,1,0,0,0,1757431596982
dimb,2,1,0,0,0,1757431652364
dimb,3,1,0,0,0,1757431663447
dimb,4,1,0,0,1,1757431675825
dimb,5,1,0,0,0,1757431679054
dimb,6,1,0,0,0,1757431681679
dimb,7,1,0,0,0,1757431685078
dimb,8,1,0,0,1,1757431688939
dimb,9,1,0,0,0,1757431699894
dimb,10,1,1,0,0,1757431702675
dima,1,1,0,0,0,1757431850023
dima,2,1,0,0,1,1757431853555
dima,3,1,0,0,0,1757431856550
dima,4,1,0,0,0,1757431859609
dima,5,1,0,0,0,1757431862612
dima,6,1,0,0,0,1757431865762
dima,7,1,0,0,0,1757431868558
dima,8,1,1,0,0,1757431871946
dima,9,1,0,0,0,1757431874989
dima,10,1,0,0,0,1757431878057
dima,11,1,0,0,0,1757431880837
afeeza,1,1,1,0,0,1757432014834
afeeza,2,1,0,0,0,1757432020960
afeeza,3,1,0,0,1,1757432026785
afeeza,4,1,0,0,0,1757432031697
afeeza,5,1,0,0,0,1757432036426
afeeza,6,1,1,0,0,1757432041058
afeeza,7,1,0,0,0,1757432045845
afeeza,8,1,0,0,1,1757432050253
afeeza,9,1,0,0,0,1757432055757
afeeza,10,1,0,0,0,1757432060655
afeezb,1,1,1,0,0,1757432177724
afeezb,2,0,0,0,0,1757432186230
afeezb,3,1,0,0,0,1757432190233
afeezb,4,1,0,0,0,1757432195933
afeezb,5,1,0,0,0,1757432205996
afeezb,6,1,1,0,0,1757432211121
afeezb,7,1,0,0,0,1757432216086
afeezb,8,0,1,1,0,1757432221322
afeezb,9,0,0,0,0,1757432225533
afeezb,10,1,0,0,0,1757432229691
kene_b,1,1,0,0,0,1757432597350
kene_b,2,1,1,0,0,1757432602750
kene_b,3,1,0,0,0,1757432605943
kene_b,4,1,0,1,0,1757432608821
kene_b,5,1,0,0,0,1757432612263
kene_b,6,1,0,0,0,1757432616746
kene_b,7,1,0,0,0,1757432620321
kene_b,8,1,0,0,0,1757432623953
kene_b,9,1,0,0,1,1757432624277
kene_b,10,1,0,0,0,1757432627534
kene_b,11,0,0,0,0,1757432631111
kenea,1,1,0,0,0,1757432946692
kenea,2,1,0,0,0,1757432949822
kenea,3,1,0,0,0,1757432952630
kenea,4,1,1,1,0,1757432955419
kenea,5,1,0,0,0,1757432958835
kenea,6,1,0,0,0,1757432962353
kenea,7,1,0,0,0,1757432965752
kenea,8,1,0,0,0,1757432975560
kenea,9,1,0,0,0,1757432979718
kenea,10,1,1,0,0,1757432984402
folaa,1,1,0,0,0,1757434058156
folaa,2,1,0,0,0,1757434061773
folaa,3,1,0,0,0,1757434065527
folaa,4,1,0,1,0,1757434069249
folaa,5,1,0,0,0,1757434073288
folaa,6,1,0,0,0,1757434076838
folaa,7,1,0,0,0,1757434080495
folaa,8,1,0,0,0,1757434084153
folaa,9,1,0,0,0,1757434087880
folaa,10,1,0,0,0,1757434091471
folab,1,1,0,0,0,1757434173692
folab,2,1,0,0,0,1757434177542
folab,3,1,0,0,0,1757434180889
folab,4,1,0,0,0,1757434185935
folab,5,1,0,1,0,1757434190065
folab,6,1,0,0,0,1757434194139
folab,7,1,0,1,0,1757434199832
folab,8,1,0,0,0,1757434203795
folab,9,1,0,0,0,1757434207870
folab,10,1,0,1,0,1757434212179
folab,11,1,0,0,0,1757434217347
folab,12,1,0,0,0,1757434217867
sama,1,1,0,0,0,1757438651911
sama,2,1,0,0,0,1757438659604
sama,3,1,0,0,0,1757438662922
sama,4,0,0,0,0,1757438666281
sama,5,1,0,0,0,1757438670582
sama,6,1,0,0,0,1757438673716
sama,7,1,1,1,0,1757438678736
sama,8,0,0,0,0,1757438685065
sama,9,1,0,0,0,1757438688159
sama,10,1,0,0,0,1757438695646
samb,1,1,0,0,0,1757439341706
samb,2,1,0,0,0,1757439344190
samb,3,1,0,0,0,1757439347076
samb,4,1,1,0,0,1757439350411
samb,5,1,0,0,0,1757439353213
samb,6,1,1,0,0,1757439356700
samb,7,1,0,0,0,1757439360557
samb,8,0,0,0,1,1757439363838
samb,9,1,1,0,0,1757439367055
samb,10,1,0,1,0,1757439369979
samb,11,1,0,1,0,1757439372266
somfeb,1,1,1,0,0,1757441094378
somfeb,2,1,0,0,1,1757441099184
somfeb,3,1,0,0,0,1757441102520
somfeb,4,1,0,0,0,1757441105851
somfeb,5,1,0,0,1,1757441108946
somfeb,6,1,0,0,1,1757441119421
somfeb,7,1,0,1,0,1757441122758
somfeb,8,1,0,0,0,1757441126499
somfeb,9,1,1,0,0,1757441130130
somfeb,10,1,0,0,0,1757441133438
somfeb,11,1,0,0,0,1757441136635
somfea,1,1,0,0,0,1757441227633
somfea,2,1,0,0,0,1757441231069
somfea,3,1,0,1,0,1757441233831
somfea,4,1,0,0,0,1757441236755
somfea,5,1,0,1,0,1757441239875
somfea,6,1,0,0,0,1757441242943
somfea,7,1,0,0,0,1757441246033
somfea,8,1,0,0,0,1757441249221
somfea,9,1,0,0,0,1757441251975
somfea,10,1,0,0,0,1757441255442
somfea,1,1,0,0,0,1757441390606
somfea,2,1,1,1,0,1757441393256
somfea,3,1,1,0,0,1757441396018
somfea,4,1,0,0,0,1757441398675
somfea,5,1,1,0,0,1757441401495
marya,1,1,0,0,0,1757441717728
marya,2,1,0,0,0,1757441723272
marya,3,1,0,0,0,1757441726179
marya,4,1,0,0,0,1757441729781
marya,5,1,0,0,0,1757441733098
marya,6,1,0,0,0,1757441736179
marya,7,1,0,0,1,1757441739390
marya,8,1,0,0,0,1757441743087
marya,9,1,1,0,0,1757441746839
marya,10,1,0,0,0,1757441750458
maryb,1,1,0,0,0,1757441942591
maryb,2,1,0,1,0,1757441947807
maryb,3,1,0,1,0,1757441954103
maryb,4,1,0,0,0,1757441959959
maryb,5,1,0,0,0,1757441965036
maryb,6,1,0,1,0,1757441970251
maryb,7,1,0,0,0,1757441975787
maryb,8,1,0,0,0,1757441981155
maryb,9,1,0,0,0,1757441987188
maryb,10,1,0,0,0,1757441995702
mayob,1,1,0,1,0,1757443356343
mayob,1,1,0,0,0,1757443464223
mayob,2,1,0,1,0,1757443469978
mayob,3,1,0,0,0,1757443479288
mayob,4,1,1,0,1,1757443488137
mayob,5,1,0,0,0,1757443500159
mayob,6,1,0,0,0,1757443511883
mayob,7,1,0,0,1,1757443521454
mayob,8,1,0,0,0,1757443531019
mayob,9,1,0,0,0,1757443538846
mayob,10,1,0,0,0,1757443546787
maryb,1,1,0,0,0,1757443713974
maryb,2,1,0,0,0,1757443724789
maryb,3,1,0,0,0,1757443729994
maryb,4,1,0,0,1,1757443737542
maryb,5,1,0,0,0,1757443744264
maryb,6,1,0,0,0,1757443750349
maryb,7,1,0,0,0,1757443756964
maryb,8,1,0,0,0,1757443763454
maryb,9,1,0,0,0,1757443769204
maryb,10,1,1,0,0,1757443775356
samb,1,0,0,0,0,1757443965569
samb,2,1,0,1,0,1757443969633
samb,3,1,0,0,0,1757443973329
samb,4,1,0,0,0,1757443977359
samb,5,1,0,0,0,1757443982083
samb,6,1,0,0,0,1757443987107
samb,7,1,1,0,0,1757443991809
samb,8,1,0,0,0,1757443997124
samb,9,1,1,0,0,1757444002192
samb,10,1,0,0,0,1757444006990
